"test"	"val"
7	20
11	46
53	48
64	50
67	55
85	56
88	57
110	60
123	63
152	87
153	92
156	98
165	100
166	117
170	120
173	133
178	139
202	143
220	148
222	172
224	182
247	195
258	204
279	209
284	230
288	237
294	242
296	249
315	260
316	262
317	264
325	278
333	291
361	295
377	302
383	305
386	307
393	337
406	343
417	344
420	375
427	380
428	382
431	392
436	399
444	407
451	409
471	421
475	429
478	440
481	441
482	472
489	473
503	484
527	488
534	500
553	532
571	535
577	537
578	556
582	557
583	569
588	584
600	585
609	590
622	603
633	628
638	630
668	665
672	667
680	691
688	708
704	716
747	717
763	724
776	730
792	732
801	760
831	781
837	813
851	814
878	815
889	829
904	838
922	843
927	857
969	864
980	873
986	891
997	902
1006	913
1008	945
1023	947
1031	951
1045	976
1046	1018
1049	1019
1060	1021
1061	1025
1097	1026
1111	1032
1119	1036
1126	1063
1142	1065
1144	1077
1159	1078
1163	1096
1169	1101
1178	1108
1196	1118
1198	1123
1211	1124
1221	1129
1231	1132
1233	1135
1241	1161
1244	1174
1247	1186
1256	1189
1257	1197
1265	1207
1267	1213
1269	1216
1275	1227
1278	1234
1291	1238
1292	1246
1293	1266
1296	1268
1314	1277
1315	1289
1345	1295
1351	1300
1357	1308
1372	1309
1378	1313
1400	1330
1404	1344
1408	1346
1416	1356
1428	1361
1430	1362
1434	1371
1449	1379
1467	1384
1478	1411
1482	1456
1487	1457
1496	1458
1522	1460
1525	1464
1531	1468
1538	1473
1540	1484
1543	1494
1556	1498
1560	1509
1567	1516
1580	1527
1583	1529
1585	1541
1595	1542
1619	1544
1642	1557
1651	1570
1653	1577
1676	1582
1720	1584
1736	1609
1744	1611
1746	1617
1748	1628
1772	1632
1776	1638
1780	1645
1785	1664
1792	1675
1797	1694
1808	1701
1809	1702
1823	1731
1833	1732
1834	1742
1843	1745
1844	1749
1867	1768
1876	1774
1877	1775
1892	1793
1895	1818
1897	1822
1919	1830
1936	1840
1948	1847
1954	1850
1969	1863
1972	1886
1978	1891
1994	1894
1995	1900
2030	1901
2038	1915
2054	1916
2074	1960
2075	1973
2083	1974
2091	1991
2100	2007
2107	2035
2113	2037
2129	2053
2130	2063
2140	2073
2141	2115
2147	2121
